Date,Open,High,Low,Close,Adj Close,Volume
2017-05-15,39.310001,39.490002,39.110001,39.189999,36.105850,2532300
2017-05-16,39.939999,40.549999,39.910000,40.450001,37.266689,4109100
2017-05-17,40.230000,40.639999,40.090000,40.099998,36.944233,4817000
2017-05-18,39.869999,40.630001,39.630001,40.410000,37.229839,3995800
2017-05-19,41.110001,41.720001,41.040001,41.380001,38.123501,4370500
2017-05-22,42.209999,42.310001,41.830002,42.130001,38.814480,3363500
2017-05-23,41.860001,42.060001,41.720001,41.860001,38.565727,2934700
2017-05-24,41.220001,41.689999,41.130001,41.500000,38.234058,2867600
2017-05-25,41.549999,41.959999,41.020000,41.389999,38.132713,3156900
2017-05-26,41.410000,41.470001,40.950001,40.980000,37.754982,2046900
2017-05-30,41.279999,41.459999,41.070000,41.299999,38.049793,1237500
2017-05-31,40.560001,40.790001,40.240002,40.310001,37.137707,2881800
2017-06-01,40.509998,40.860001,40.439999,40.650002,37.450951,1873800
2017-06-02,40.740002,41.029999,40.320000,40.799999,37.589146,2329500
2017-06-05,40.619999,40.750000,40.349998,40.410000,37.229839,1587500
2017-06-06,40.360001,41.049999,40.320000,40.959999,37.736557,2052800
2017-06-07,41.320000,41.500000,40.869999,41.240002,37.994518,3218800
2017-06-08,41.220001,42.160000,41.209999,42.110001,38.796051,2582800
2017-06-09,41.619999,42.200001,41.450001,41.730000,38.445957,2837900
2017-06-12,41.599998,41.830002,40.910000,41.040001,37.810257,5171800
2017-06-13,41.090000,41.290001,40.970001,41.160000,37.920815,2172800
2017-06-14,41.250000,41.270000,39.599998,39.889999,36.750759,3817300
2017-06-15,39.450001,39.720001,38.959999,39.349998,36.253258,3258600
2017-06-16,39.430000,39.509998,38.889999,39.299999,36.207191,3250400
2017-06-19,39.540001,39.759998,39.230000,39.250000,36.161129,2430800
2017-06-20,38.669998,38.680000,37.660000,38.000000,35.009499,4195300
2017-06-21,38.580002,38.779999,38.099998,38.320000,35.304314,3200700
2017-06-22,38.080002,38.990002,38.080002,38.709999,35.663624,5617400
2017-06-23,39.099998,39.369999,38.860001,39.169998,36.087421,2726200
2017-06-26,39.500000,39.610001,38.950001,39.279999,36.188766,1794900
2017-06-27,39.279999,40.919998,39.279999,40.189999,37.027149,5701900
2017-06-28,41.099998,41.270000,40.810001,41.169998,37.930027,3386500
2017-06-29,42.169998,42.410000,41.509998,41.840000,38.547298,3158200
2017-06-30,42.549999,42.549999,42.080002,42.310001,38.980316,2719800
2017-07-03,43.230000,43.840000,43.130001,43.599998,40.168793,3051000
2017-07-05,43.860001,43.950001,43.139999,43.290001,39.883190,4896300
2017-07-06,43.250000,43.660000,43.080002,43.139999,39.744995,3800500
2017-07-07,43.540001,43.630001,43.150002,43.500000,40.076664,3721300
2017-07-10,42.689999,44.389999,42.650002,44.220001,40.739998,4726100
2017-07-11,44.410000,44.869999,44.200001,44.720001,41.200653,4563500
2017-07-12,44.730000,44.930000,44.490002,44.689999,41.173012,2660300
2017-07-13,44.590000,44.860001,44.279999,44.560001,41.053246,2438300
2017-07-14,45.299999,45.580002,45.080002,45.169998,41.615234,3529400
2017-07-17,45.439999,45.709999,45.389999,45.450001,41.873203,2513400
2017-07-18,44.630001,45.500000,44.560001,45.480000,41.900841,3872400
2017-07-19,45.290001,45.570000,45.209999,45.360001,41.790287,2167700
2017-07-20,44.709999,44.840000,44.099998,44.540001,41.034821,2950300
2017-07-21,44.349998,44.410000,43.849998,44.139999,40.666298,3276100
2017-07-24,44.029999,44.180000,43.119999,43.900002,40.445187,4568100
2017-07-25,45.230000,46.180000,45.080002,45.930000,42.315430,6872400
2017-07-26,46.070000,46.220001,45.560001,46.020000,42.398350,4256700
2017-07-27,46.020000,46.560001,45.650002,45.869999,42.260151,3077400
2017-07-28,45.950001,46.840000,45.910000,46.610001,42.941914,3720300
2017-07-31,47.200001,47.509998,46.990002,47.380001,43.651318,4547400
2017-08-01,47.000000,47.230000,46.770000,47.130001,43.420990,3056400
2017-08-02,45.580002,46.049999,45.340000,46.009998,42.389130,3787300
2017-08-03,46.180000,46.480000,45.939999,46.180000,42.545753,1874200
2017-08-04,47.070000,47.080002,46.639999,46.830002,43.144604,2267800
2017-08-07,47.509998,48.029999,47.450001,47.849998,44.084324,2989800
2017-08-08,47.169998,47.610001,47.049999,47.290001,43.568401,3563700
2017-08-09,46.070000,46.360001,45.810001,46.160000,43.540100,3812900
2017-08-10,45.700001,45.830002,45.340000,45.369999,42.794937,2259800
2017-08-11,44.330002,44.750000,44.240002,44.610001,42.078075,5583500
2017-08-14,44.709999,45.049999,44.669998,44.759998,42.219559,2486500
2017-08-15,43.959999,44.330002,43.880001,44.209999,41.700775,3159400
2017-08-16,44.910000,45.369999,44.779999,45.240002,42.672321,2830200
2017-08-17,44.900002,45.009998,44.259998,44.320000,41.804535,1994900
2017-08-18,44.580002,44.840000,44.459999,44.639999,42.106373,1906600
2017-08-21,45.150002,45.330002,44.959999,45.200001,42.634590,2226000
2017-08-22,45.980000,46.299999,45.889999,46.150002,43.530670,4196700
2017-08-23,46.270000,47.410000,46.189999,47.310001,44.624836,7937300
2017-08-24,47.240002,47.830002,46.970001,47.590000,44.888939,3737800
2017-08-25,48.169998,48.240002,47.650002,47.689999,44.983261,3351000
2017-08-28,47.830002,48.209999,47.660000,48.029999,45.303967,1703900
2017-08-29,47.590000,48.290001,47.500000,48.110001,45.379429,2793200
2017-08-30,48.160000,48.330002,47.889999,47.910000,45.190777,3006800
2017-08-31,48.840000,49.270000,48.740002,49.080002,46.294373,4176100
2017-09-01,49.570000,49.790001,49.279999,49.529999,46.718830,2535400
2017-09-05,49.310001,49.419998,48.250000,48.840000,46.067993,4863000
2017-09-06,48.840000,49.290001,48.779999,49.150002,46.360401,2098200
2017-09-07,49.459999,49.580002,49.230000,49.529999,46.718830,1986500
2017-09-08,49.279999,49.340000,48.009998,48.270000,45.530346,3285200
2017-09-11,48.599998,49.439999,48.570000,49.240002,46.445290,2116600
2017-09-12,49.570000,49.889999,49.480000,49.660000,46.841454,2701900
2017-09-13,48.669998,48.889999,48.529999,48.840000,46.067993,2265700
2017-09-14,47.709999,47.990002,47.480000,47.959999,45.237938,2715800
2017-09-15,47.700001,47.930000,47.599998,47.630001,44.926670,3392000
2017-09-18,47.830002,48.270000,47.810001,48.240002,45.502048,2019700
2017-09-19,47.990002,48.520000,47.770000,48.450001,45.700130,2079600
2017-09-20,48.230000,48.400002,47.419998,47.820000,45.105885,3282200
2017-09-21,47.500000,48.090000,47.279999,47.849998,45.134178,3621400
2017-09-22,47.700001,48.180000,47.650002,47.820000,45.105885,2006700
2017-09-25,47.500000,47.619999,46.820000,47.080002,44.407887,2300000
2017-09-26,47.080002,47.160000,46.509998,46.610001,43.964561,2929800
2017-09-27,47.240002,47.279999,46.560001,46.950001,44.285263,1970100
2017-09-28,46.380001,47.060001,46.240002,46.950001,44.285263,2406400
2017-09-29,47.250000,47.450001,47.049999,47.189999,44.511639,1546300
2017-10-02,47.439999,48.029999,47.410000,47.930000,45.209641,1803900
2017-10-03,48.310001,48.439999,48.150002,48.389999,45.643532,2229700
2017-10-04,48.770000,48.860001,48.400002,48.520000,45.766155,1373900
2017-10-05,48.750000,49.169998,48.689999,48.730000,45.964237,1864500
2017-10-06,48.820000,49.189999,48.639999,49.080002,46.294373,2709100
2017-10-09,49.150002,49.250000,47.959999,48.070000,45.341698,3612100
2017-10-10,48.189999,48.400002,47.980000,48.259998,45.520912,2010600
2017-10-11,48.119999,48.139999,47.549999,47.750000,45.039856,1808100
2017-10-12,47.860001,48.240002,47.689999,48.080002,45.351131,2230400
2017-10-13,49.419998,50.130001,49.240002,50.009998,47.171585,3803100
2017-10-16,50.669998,50.770000,49.830002,50.020000,47.181019,2595900
2017-10-17,49.900002,50.020000,49.549999,49.790001,46.964077,1936300
2017-10-18,48.860001,49.020000,47.639999,48.020000,45.294537,5009300
2017-10-19,47.860001,48.410000,47.790001,48.130001,45.398293,2202000
2017-10-20,48.450001,48.630001,47.840000,48.369999,45.624668,2163600
2017-10-23,47.959999,48.189999,47.900002,47.959999,45.237938,1115100
2017-10-24,47.619999,48.139999,47.610001,47.980000,45.256805,1712900
2017-10-25,47.580002,47.580002,46.759998,47.099998,44.426746,1941200
2017-10-26,47.880001,47.910000,47.200001,47.209999,44.530506,2291800
2017-10-27,46.759998,47.660000,46.700001,47.450001,44.756886,1788500
2017-10-30,47.700001,47.840000,47.230000,47.330002,44.643700,1738100
2017-10-31,47.330002,48.099998,47.160000,47.930000,45.209641,1845100
2017-11-01,49.459999,49.470001,48.970001,49.029999,46.247208,2660900
2017-11-02,49.259998,49.779999,49.200001,49.480000,46.671669,1899600
2017-11-03,49.660000,49.660000,49.000000,49.240002,46.445290,1358400
2017-11-06,50.040001,50.439999,50.000000,50.389999,47.530022,2318200
2017-11-07,50.380001,50.419998,49.520000,49.889999,47.058399,2144200
2017-11-08,50.209999,50.560001,49.779999,50.500000,47.633778,2300400
2017-11-09,48.950001,49.130001,48.570000,49.119999,46.332100,3413100
2017-11-10,49.389999,49.669998,49.139999,49.509998,46.699966,1695600
2017-11-13,48.750000,49.509998,48.750000,49.200001,46.407562,1957500
2017-11-14,48.389999,48.480000,47.700001,48.000000,45.275673,2870900
2017-11-15,47.139999,47.750000,46.720001,47.560001,44.860645,3204300
2017-11-16,47.849998,47.869999,47.380001,47.630001,44.926670,1895300
2017-11-17,47.549999,47.869999,47.439999,47.590000,44.888939,1933100
2017-11-20,47.480000,47.840000,47.240002,47.820000,45.105885,2454400
2017-11-21,47.950001,48.360001,47.869999,48.049999,45.322834,2579500
2017-11-22,48.740002,49.130001,48.709999,49.009998,46.228344,1934200
2017-11-24,49.270000,49.650002,49.270000,49.430000,46.624504,1084700
2017-11-27,49.549999,49.619999,48.830002,48.880001,46.105724,1317500
2017-11-28,48.330002,48.740002,48.200001,48.709999,45.945370,2108700
2017-11-29,48.119999,48.520000,47.669998,47.889999,45.171909,2171800
2017-11-30,48.130001,48.259998,47.790001,47.900002,45.181343,1809400
2017-12-01,48.049999,48.720001,47.630001,48.299999,45.558643,2624000
2017-12-04,48.490002,48.750000,48.270000,48.290001,45.549210,1895500
2017-12-05,47.240002,47.680000,47.070000,47.200001,44.521072,2886200
2017-12-06,47.000000,47.639999,46.970001,47.450001,44.756886,3001300
2017-12-07,46.820000,47.180000,46.770000,47.060001,44.389023,2682400
2017-12-08,47.330002,47.549999,47.040001,47.169998,44.492775,2329100
2017-12-11,47.900002,48.240002,47.840000,47.950001,45.228504,1932000
2017-12-12,47.750000,48.029999,47.360001,47.700001,44.992695,3417400
2017-12-13,47.959999,48.750000,47.820000,48.599998,45.841614,4166500
2017-12-14,48.770000,48.830002,48.040001,48.060001,45.332268,3277200
2017-12-15,48.799999,49.150002,48.680000,49.119999,46.332100,3388800
2017-12-18,49.560001,50.169998,49.540001,49.880001,47.048965,2297200
2017-12-19,49.419998,49.779999,49.259998,49.490002,46.681107,1740200
2017-12-20,50.310001,50.709999,50.020000,50.570000,47.699802,2754700
2017-12-21,50.970001,51.459999,50.869999,51.410000,48.492126,2560900
2017-12-22,51.279999,51.410000,50.939999,51.090000,48.190292,1619400
2017-12-26,51.029999,51.720001,50.400002,51.419998,48.501556,2299500
2017-12-27,52.009998,52.169998,51.610001,51.750000,48.812832,1887700
2017-12-28,52.630001,52.880001,52.419998,52.759998,49.765503,2387400
2017-12-29,53.689999,53.689999,52.599998,52.930000,49.925858,2964200
2018-01-02,53.950001,54.880001,53.820000,54.750000,51.642563,3907400
2018-01-03,54.750000,55.000000,54.430000,54.950001,51.831211,2849200
2018-01-04,54.869999,55.000000,54.639999,54.700001,51.595402,2377700
2018-01-05,54.650002,54.660000,54.150002,54.540001,51.444477,3631800
2018-01-08,55.000000,55.680000,54.939999,55.650002,52.491482,2781600
2018-01-09,56.000000,56.139999,55.610001,55.740002,52.576370,2735100
2018-01-10,55.919998,56.160000,55.700001,56.080002,52.897076,2497600
2018-01-11,56.660000,57.279999,56.619999,57.240002,53.991238,2578000
2018-01-12,57.540001,57.779999,57.430000,57.669998,54.396828,2363800
2018-01-16,56.570000,56.730000,55.669998,55.779999,52.614098,3844900
2018-01-17,56.310001,56.490002,55.910000,56.270000,53.076290,2347800
2018-01-18,56.259998,56.430000,55.849998,56.240002,53.047997,2059100
2018-01-19,56.549999,56.779999,55.910000,56.049999,52.868778,2510600
2018-01-22,56.330002,56.470001,55.959999,56.450001,53.246075,2278000
2018-01-23,55.869999,55.889999,55.130001,55.660000,52.500912,2684100
2018-01-24,56.459999,56.580002,55.970001,56.150002,52.963104,2116900
2018-01-25,56.860001,56.980000,55.709999,55.759998,52.595234,2522800
2018-01-26,55.959999,56.430000,55.830002,56.310001,53.114021,1413900
2018-01-29,57.180000,57.279999,56.599998,56.650002,53.434723,2507800
2018-01-30,56.750000,56.759998,56.080002,56.169998,52.981964,1914400
2018-01-31,56.220001,56.410000,55.770000,56.110001,52.925373,2124100
2018-02-01,56.209999,56.669998,56.099998,56.520000,53.312099,2255700
2018-02-02,56.529999,56.529999,54.119999,54.330002,51.246399,4950600
2018-02-05,54.980000,55.599998,52.720001,53.290001,50.265427,3873600
2018-02-06,53.680000,55.610001,53.419998,55.189999,52.057583,6956300
2018-02-07,54.369999,54.709999,53.799999,53.900002,50.840805,4165400
2018-02-08,54.000000,54.119999,52.130001,52.270000,49.303318,4991900
2018-02-09,53.150002,53.950001,51.779999,53.720001,50.671021,5096700
2018-02-12,54.209999,55.490002,54.150002,55.189999,52.057583,5615000
2018-02-13,55.369999,55.990002,55.139999,55.709999,52.548073,3191000
2018-02-14,55.230000,58.200001,55.110001,58.040001,54.745831,5440700
2018-02-15,59.040001,59.250000,58.209999,58.900002,55.557018,3404600
2018-02-16,58.060001,58.730000,57.730000,57.820000,54.538315,3362000
2018-02-20,56.549999,56.880001,55.959999,56.270000,53.076290,3964300
